"","pmid","kappa","z","p_value","annotators","type","token","min_vars","max_vars","mean_vars","rate_consensus","n_consensus_vars"
"1","29574441",0.161,9.3,0,10,74,151,9,22,16,0.264,5
"2","30180830",0.4,14.2,0,10,28,130,13,13,13,0.676,10
"3","30368247",0.295,13.1,0,10,44,151,10,18,15.6,0.376,6
"4","31444142",0.179,7.9,0,10,43,123,3,19,14.1,0.407,7
"5","31617930",0.235,11.8,0,10,56,175,15,21,17.6,0.515,12
"6","33067992",0.38,15.3,0,10,36,144,9,17,14.8,0.682,12
"7","33126696",0.454,19,0,10,39,122,8,16,12.8,0.615,8
"8","33655975",0.306,15,0,10,53,182,14,24,18.6,0.604,14
"9","33767305",0.529,18.4,0,10,27,143,10,17,14.6,0.86,14
"10","33798213",0.424,15.1,0,10,28,102,4,17,11.1,0.687,8
"11","33839636",0.245,12.1,0,10,54,125,8,31,16.1,0.4,6
"12","34176293",0.348,9,0,10,15,56,4,8,5.8,0.696,5
"13","34611033",0.182,7.6,0,10,39,112,6,14,11.8,0.437,7
"14","34872609",0.557,11.8,0,10,10,86,7,9,8.7,0.989,9
"15","35102219",0.304,10.8,0,10,28,85,6,10,8.7,0.423,4
"16","35533660",0.471,13.8,0,10,19,108,10,12,10.9,0.823,10
"17","35897033",0.444,12.3,0,10,17,90,8,10,9,0.713,7
"18","36092174",0.413,12.7,0,10,21,112,9,13,11.4,0.767,10
"19","36265125",0.638,24.6,0,10,33,193,14,22,19.7,0.907,19
"20","36389342",0.456,17.6,0,10,33,143,11,16,14.5,0.601,9
"21","36699985",0.535,22.1,0,10,38,141,11,19,14.8,0.688,10
"22","37079031",0.415,14.7,0,10,28,99,6,17,10.9,0.726,9
"23","37203319",0.518,14.3,0,10,17,116,10,13,11.7,0.828,10
"24","37441712",0.48,13.7,0,10,18,80,5,10,8.3,0.765,7
"25","37448423",0.468,18.8,0,10,36,118,9,16,12.2,0.679,9
"26","37698858",0.528,18.4,0,10,27,93,6,12,9.6,0.636,6
"27","37711969",0.103,4.9,0,10,50,97,5,15,10.4,0.236,3
"28","37830725",0.349,11.5,0,10,24,112,7,14,11.6,0.76,11
"29","38229871",0.416,13.7,0,10,24,123,10,15,12.5,0.805,12
"30","38443972",0.528,16.6,0,10,22,124,10,15,12.6,0.766,10
